application/oscore,IANA,,false,
application/oxps,IANA,,false,oxps
application/p21,IANA,,false,
application/p21+zip,IANA,,false,
application/p2p-overlay+xml,IANA,,true,relo
application/parityfec,IANA,,false,
application/passport,IANA,,false,
application/patch-ops-error+xml,IANA,,true,xer
application/pdf,IANA,,false,pdf
application/pdx,IANA,,false,
application/pem-certificate-chain,IANA,,false,
application/pgp-encrypted,IANA,,false,pgp
application/pgp-keys,IANA,,false,asc
application/pgp-signature,IANA,,false,asc;sig
application/pics-rules,APACHE,,false,prf
application/pidf+xml,IANA,UTF-8,true,
application/pidf-diff+xml,IANA,UTF-8,true,
application/pkcs10,IANA,,false,p10
application/pkcs12,IANA,,false,
application/pkcs7-mime,IANA,,false,p7m;p7c
application/pkcs7-signature,IANA,,false,p7s
application/pkcs8,IANA,,false,p8
application/pkcs8-encrypted,IANA,,false,
application/pkix-attr-cert,IANA,,false,ac
application/pkix-cert,IANA,,false,cer
application/pkix-crl,IANA,,false,crl
application/pkix-pkipath,IANA,,false,pkipath
application/pkixcmp,IANA,,false,pki
application/pls+xml,IANA,,true,pls
application/poc-settings+xml,IANA,UTF-8,true,
application/postscript,IANA,,true,ai;eps;ps
application/ppsp-tracker+json,IANA,,true,
application/problem+json,IANA,,true,
application/problem+xml,IANA,,true,
application/provenance+xml,IANA,,true,provx
application/prs.alvestrand.titrax-sheet,IANA,,false,
application/prs.cww,IANA,,false,cww
application/prs.cyn,IANA,7-BIT,false,
application/prs.hpub+zip,IANA,,false,
application/prs.nprend,IANA,,false,
application/prs.plucker,IANA,,false,
application/prs.rdf-xml-crypt,IANA,,false,
application/prs.xsf+xml,IANA,,true,
application/pskc+xml,IANA,,true,pskcxml
application/pvd+json,IANA,,true,
application/qsig,IANA,,false,
application/raml+yaml,,,true,raml
application/raptorfec,IANA,,false,
application/rdap+json,IANA,,true,
application/rdf+xml,IANA,,true,rdf;owl
application/reginfo+xml,IANA,,true,rif
application/relax-ng-compact-syntax,IANA,,false,rnc
application/remote-printing,IANA,,false,
application/reputon+json,IANA,,true,
application/resource-lists+xml,IANA,,true,rl
application/resource-lists-diff+xml,IANA,,true,rld
application/rfc+xml,IANA,,true,
application/riscos,IANA,,false,
application/rlmi+xml,IANA,,true,
application/rls-services+xml,IANA,,true,rs
application/route-apd+xml,IANA,,true,rapd
application/route-s-tsid+xml,IANA,,true,sls
application/route-usd+xml,IANA,,true,rusd
application/rpki-ghostbusters,IANA,,false,gbr
application/rpki-manifest,IANA,,false,mft
application/rpki-publication,IANA,,false,
application/rpki-roa,IANA,,false,roa
application/rpki-updown,IANA,,false,
application/rsd+xml,APACHE,,true,rsd
application/rss+xml,APACHE,,true,rss
application/rtf,IANA,,true,rtf
application/rtploopback,IANA,,false,
application/rtx,IANA,,false,
application/samlassertion+xml,IANA,,true,
application/samlmetadata+xml,IANA,,true,
application/sarif+json,IANA,,true,
application/sarif-external-properties+json,IANA,,true,
application/sbe,IANA,,false,
application/sbml+xml,IANA,,true,sbml
application/scaip+xml,IANA,,true,
application/scim+json,IANA,,true,
application/scvp-cv-request,IANA,,false,scq
application/scvp-cv-response,IANA,,false,scs
application/scvp-vp-request,IANA,,false,spq
application/scvp-vp-response,IANA,,false,spp
application/sdp,IANA,,false,sdp
application/secevent+jwt,IANA,,false,
application/senml+cbor,IANA,,false,
application/senml+json,IANA,,true,
application/senml+xml,IANA,,true,senmlx
application/senml-etch+cbor,IANA,,false,
application/senml-etch+json,IANA,,true,
application/senml-exi,IANA,,false,
application/sensml+cbor,IANA,,false,
application/sensml+json,IANA,,true,
application/sensml+xml,IANA,,true,sensmlx
application/sensml-exi,IANA,,false,
application/sep+xml,IANA,,true,
application/sep-exi,IANA,,false,
application/session-info,IANA,,false,
application/set-payment,IANA,,false,
application/set-payment-initiation,IANA,,false,setpay
application/set-registration,IANA,,false,
application/set-registration-initiation,IANA,,false,setreg
application/sgml,IANA,,false,
application/sgml-open-catalog,IANA,,false,
application/shf+xml,IANA,,true,shf
application/sieve,IANA,,false,siv;sieve
application/simple-filter+xml,IANA,,true,
application/simple-message-summary,IANA,,false,
application/simplesymbolcontainer,IANA,,false,
application/sipc,IANA,,false,
application/slate,IANA,,false,
application/smil,IANA,,false,
application/smil+xml,IANA,,true,smi;smil
application/smpte336m,IANA,,false,
application/soap+fastinfoset,IANA,,false,
application/soap+xml,IANA,,true,
application/sparql-query,IANA,,false,rq
application/sparql-results+xml,IANA,,true,srx
application/spdx+json,IANA,,true,
application/spirits-event+xml,IANA,,true,
application/sql,IANA,,false,
application/srgs,IANA,,false,gram
application/srgs+xml,IANA,,true,grxml
application/sru+xml,IANA,,true,sru
application/ssdl+xml,APACHE,,true,ssdl
application/ssml+xml,IANA,,true,ssml
